iter	MultiClass
0	1.010936209
1	0.9333462029
2	0.8718274374
3	0.8184782138
4	0.7684374058
5	0.7256585341
6	0.6922457133
7	0.6593979592
8	0.6341332072
9	0.6108092423
10	0.5880631434
11	0.5671819076
12	0.5479459818
13	0.5300966473
14	0.5138642174
15	0.4979796525
16	0.4839966053
17	0.471939963
18	0.4602587963
19	0.4484677914
20	0.4370046267
21	0.4285711432
22	0.4202213499
23	0.4118789089
24	0.4044300025
25	0.3971809935
26	0.3912654166
27	0.3858660287
28	0.3799992626
29	0.3761411328
30	0.372561746
31	0.3673870434
32	0.363199996
33	0.35978815
34	0.3563993544
35	0.3528451909
36	0.3495440213
37	0.3461251167
38	0.343128257
39	0.3397716223
40	0.3369717523
41	0.3338513375
42	0.3312071601
43	0.3285791366
44	0.3259595768
45	0.3236312906
46	0.3217129498
47	0.3196935373
48	0.3180239953
49	0.3160604009
50	0.3139368976
51	0.3130751975
52	0.311455876
53	0.309599987
54	0.3079449196
55	0.3061341566
56	0.3049771311
57	0.3041700847
58	0.3030735
59	0.3018064621
60	0.3005927741
61	0.2992240869
62	0.2983671147
63	0.2977526777
64	0.2973944543
65	0.2964051786
66	0.2952270921
67	0.2942997161
68	0.2933677624
69	0.2926927061
70	0.2917695216
71	0.29065249
72	0.2899411003
73	0.2892520197
74	0.2885559865
75	0.2877196386
76	0.2870285393
77	0.2861390191
78	0.2851982949
79	0.2841633165
80	0.2833462414
81	0.2827543
82	0.2817514564
83	0.2807337101
84	0.2798403705
85	0.2788335048
86	0.2781073445
87	0.2778673649
88	0.2772321275
89	0.2762786712
90	0.275695294
91	0.2752675047
92	0.2748697282
93	0.2745065603
94	0.273918924
95	0.273089711
96	0.2725153302
97	0.2721125329
98	0.2712606617
99	0.270673556
100	0.2699898942
101	0.2689867124
102	0.2684443296
103	0.2677425186
104	0.2669526763
105	0.2662010378
106	0.265833084
107	0.2649281765
108	0.2644449967
109	0.263894783
110	0.2632322648
111	0.262927603
112	0.2620633938
113	0.2616205813
114	0.2613596279
115	0.2609807553
116	0.2606224853
117	0.260152226
118	0.2596394781
119	0.2589516073
120	0.2585347498
121	0.2579372161
122	0.257499576
123	0.2567764306
124	0.2563243725
125	0.2559766869
126	0.254997974
127	0.2542875088
128	0.253907084
129	0.2533153383
130	0.2526589011
131	0.2522557854
132	0.2520070909
